salary_id,ids_num,year,author,level,title
,,2010,张忠会,三大检索（仅供认领作者选择）,Study of Wattless Compensate of Electric power System Based on Fuzzy Control
,,2010,张忠会,三大检索（仅供认领作者选择）,Simulation of substation voltage and reactive contr ol based on fuzzy theory
,,2010,李安,三大检索（仅供认领作者选择）,Outage behavior of improving DF relaying in dissimilar Rayleigh fading channels
,,2010,李迟生,三大检索（仅供认领作者选择）,A novel calibration approach based on recurrent neural network for vehicle weigh-in-motion system
,,2010,李迟生,三大检索（仅供认领作者选择）,An efficient recognition algorithm between analog and digital signals at  low SNR
,,2010,徐少平,三大检索（仅供认领作者选择）,An improved realistic mass-spring model for surgery simulation1
,,2010,徐苏,三大检索（仅供认领作者选择）,Improved Algoritm of pattern matching for Intrusion Detection
,,2010,徐苏,三大检索（仅供认领作者选择）,An improved p2p architecture for federated D-IDS
,,2010,胡凌燕,三大检索（仅供认领作者选择）,The wave-variable teleoperator with improved trajectory tracking
,,2010,魏庆国,三大检索（仅供认领作者选择）,A least-squares approach for extending common spatial pattern algorithm to multi-class in brain-computer interfaces.
,,2010,王玉皞,三大检索（仅供认领作者选择）,Client/Service Framework-Based Passenger Line Ticket System Using 2-D Barcode on Mobile Phone
,,2010,李赣平,三大检索（仅供认领作者选择）,Design of an Embedded Control and Acquisition System for Industrial Local Area Networks Based on ARM
,,2010,李赣平,三大检索（仅供认领作者选择）,Inverse Model-Based and Feedback-Assisted Iterative Learning Control for a Class of Batch Processes
,,2010,戴文进,三大检索（仅供认领作者选择）,"DSTATCOM Iverse System PI Controller, 《Key Engineering Materials》,"
,,2010,黄涛,三大检索（仅供认领作者选择）,Research on Three-level and Quad-multiplex STATCOM Voltage Inverter
,,2010,黄涛,三大检索（仅供认领作者选择）,Car fault diagnosis system based on FNN and rule-based inference
,,2010,王时胜,国际会议文集,The Simulation of Single-Phase Earthed Fault in Neutral Ineffective Grounding System Based on MATLAB
,,2010,李力,三大检索（仅供认领作者选择）,Ant-colony optimization based on cluster routing protocol of ad hoc(1)
,EI,2010,郑超美,三大检索（仅供认领作者选择）,A streaming media congestion control mechanism based on UDP
,EI,2010,李姗,国际会议文集,An Adaptive Method Preventing Database from SQL Injection Attacks
,,2010,张烨,三大检索（仅供认领作者选择）,Potential function agglomeration clustering algorithm for sparse component analysis
,,2010,王时胜,三大检索（仅供认领作者选择）,The Design of ECG Signals Dually Filtering Based on FPGA
